	micha-ii-48	fr111-ii-48	sommer--ii-48	lanzarote-ii-48	inc-ii-48	fr751-ii-48	lancellotto-ii-48
249|250	qui avec lui estoient, |qu’en volés vos fere ? — Je me vueil. fet il, un poi aler esbatre jusqu’a cel boschel, 	qui auec luy estoient. |que uoulez uous faire. Ie me uueil fait il ung pou aller esbatre |iucqua ce boys 	qui aueques lui estoient pourcoi vous voles vous armer. Iou me voel fait il aler esbatre iusken cel bosket. 	que conel estauan |que para que las queria |yo me Quiero armar dixo boores Porme yr a solazar a aquel montezillo 	qui auec luy estoient pour|quoy les demandes uous ie me uueil fait il armer pour moy aller esbatre iusques en ce bochel 	qui auec lui estoient |quen uoles uos faire. Ie men ueil fait il aler .i pou esbare iusqua cele forest. 	che con esso lui erano, |che volete voi fare? |— l' mi voglio, diss’elli, andare a sbattere un poco in quello boschetto, 
251	si revendrai orendroit. » 	si reuiendray tantost. 	si reuendrai maintenant. 	e luego me tornare 	mes ie reuendray tantost/ 	et reuandrai orendroit |et cil 	si ritornerò oraindiritto». 
252|253|254	Cil n’osent son commandement refuser. |si aportent ses armes |et il les prent. 	ceulx nousent refusrr son commandement. |et apportent ses armes. |et il les prent. 	Et cil nosent son commandement refuser. |Si li aportent sez armes. 	e ellos no osaron su voluntad contradeçir |e truxeronselas 	et ceulx nosent reffuser son commandement |lors luy apportent ses armes 	qui nosent son commandement escondire Li aportent |et il les prant. 	E que' non osano suo comandamento rifiutare, |sì gli portano sue armi |ed e' le prende; 
255|256|257|258|259	Et quant il est armés, |si monte en son cheval a, |si se part de laiens par une posterne par devers le boschel », |ne ne velt|que nus li face compaignie. 	Et quant il est arme si monte a cheual. |et se part de leans par la pousterne deuers le chastel ne ne ueult |que nul luy face compaignie. 	Et il sen arme. |puis monte sor son cheua |et se part de laiens |et ne veult |que nus li face compaignie 	e el se armo |e desque fue armado salio porvn postigo |que estaua contrael monteçillo |e no quiso que fuese conel ninguno 	et quant il fust arme |si sen part de le ans par la posterne uers ung petit bosc |et ne ueult |que nul luy face compagnie. 	et quant il est armes |si se part de laiens par la poterne par deuers .i. bochet si ne uoet |que nus li face 	e quand’egli è armato, |e' monta in suo cavallo, |si si parte di là entro per la postierna diverso il boschello, |né non vuole |che nullo gli faccia compagnia. 
260|261|262	Et quant il est l. poi eslongiés del chastel, |si torne a destre vers une forest |qu’il voit haute et espesse 	Et quant il est ung pou esloigne du chastel |si torne a destre partie uers une fourest |quil uoit haute et espesse. 	Et|quant il est vn petit eslongies |si sen torne vers vne haute forest. |quil vit haute et espesse 	e desque fue vn poco alongado Metiose porvna floresta |que vido muy espesa 	Et|quant il est ung pou eslongnie il tourne uers une forest grande et espesse 	compongnie.et quant il est i po eslongniez dou chastel |si torne a destre par deuers une forest haute|et espesce 	quand’egli è un poco islungato del castello, |si torna a destra partita per diverso una foresta |ch’elli vide alta e spessa, 
263|264	et s’en vet al ferir des esperons; |si se fiert en la forest 	si sen ua au ferir des esperons |et se fiert en la fourest. 	et sen vait au ferir des esperons |et se fiert en la forest 	quanto el cauallo lo pudo lleuar 	si fiert des esperons 	et sen ua au ferir des esperons. |Si se fiert en la forest 	si vi si mette al fedire delli sproni |e si fiede nello spesso della foresta 
265|266|267|268	et eirre tant |qu’il li anuite ; |et lors escote, |si ot une cloche soner 	et erra tant qͥl anuyta. |Et lors escoute |si ouy sonner une cloche 	tant quil si anuite. |Lors oy vne cloche sonner. 	e el ansi yendo oyo vna canpana tañer |e luego cuido |quela tañian en alguna hermita 	et sen entra dedens et cheuaucha|tant que la nuyt uint. Il ouyt une cloche sonner 	et erre tantquil li anuitie. |et lors escoute|si oit une cloche soner 	e va tanto |ch’elli anottò. AIlora ascolta, |sì ode una campana sonare 
269	et il sot bien tantost	si sceit bien tantost 	et sot bien tantost 	e el fue alla 	si pense tantost 	et il seit bien 	ed e'sa ben tantosto 
270|271|272	que c’estoit hermitages: |si s’en torne cele part |et descent a l’uis,	que cest hermitage. |si se tourne celle part |et descent a luys si apelle. 	que ce estoit vns hermitages. |si torne cele part. |et descent a luis 	e desque llego ala hermita llamo 	que cest ung hermitage. il sen alla celle part |et puys frappa a luys/ 	que cest hermitages|si se torne cele part |et descent a luis 	che ciò è romitaggio: |si ritorna in quelle parti|e discende a l’uscio, 
273|274|275|276|277|278|279|280	si apele et li hermites li oevre son huis, |si a le reçoit a bele chiere |et le desarme il meismes, |puis vet cueillir de l’erbe al cheval |et por fere lit al chevalier.|Ensi est Boors remés chiés l’ermite, |et la damoisele de Glocedun chevalcha tant a |qu’ele encontra cele de Honguefort; 	et lermite luy euure |et le recoit a belle chiere. |Ainsi est demoure |Comme boot demoura chex lermite. |che tant|quelle fu partie de son chastel |et quelle encontra celle boort chex lermite et la damoisele de glossedin cheuaude hunguefort. 	et apele. |Et hermites le rechoit a bele chiere. |et le desarme il meismes. |et|puis vait coillir de lerbe pour le cheual |et fait le lit au cheualier, |Nsi est remes bohoors chies le prodomme. |Et la damoisele de Glochedon tcheualche tant |que elle encontre cele de hongrefort. 	fastaque el hermitaño le vino a abrir |e acogiolo |porque vido que hera cauallero andante |e el mesmo lo ayudo a desarmar |e desque lo ovo desarmado |cogio dela yerua Parael cauallo Ansi finco enla hermita |e la donçella de glaçedon andubo tanto |fastaque encontro ala señora de ongeforte 	et lermite le rechoit a belle chere |et le desarma |et puys cueillit de lerbe uerte pour le cheual |et fist le lyt au cheualier. |Insi est boort demoure auec lermite et la damoiselle de glacedon a tant alle |quelle encentra celle de honguesfort/ 	et apele. et li ermites li ouure |et le resoit a mout bele chiere. et le desarme il meismes |et puis ua cuillir de lerbe il meismes por le cheual. |et por faire lit au cheualier |Ainsi est boh̾ retrais chies lermite. |et la damoisele de glocdon cheuauche |quant ele fu partie de son chastel |tant que ele encontre la damoiselle de honguefort	si chiama |e l romito gli apre l’uscelletto,|si-llo riceve a bella cera |e l disarmò elli medesimo; |poscia va a cogliere dell’erba al cavallo lel per fare el letto del cavaliere.|ilnsi rimase Boordo a casa il romito, |e la damigella di Locidin cavalca |tanto ch’ella fu partita di suo castello |ch’ella trovò quella d’Unguelforte.
281	si s’entresaluent, 	si sentresaluent. 	si sentrefont moult grant ioie. 	e ellas se saluaron 	si sentresalluerent. 	si sentre saluent. 	Si si trasalutano, 
282|283	mais molt se merveille cele de Glocedun, |quant ele voit sa cosine si atornee et tote sa maisnie: 	mais celle de glossedin se merueille moult |quant elle uoit sa cousine |si atournee et toute sa mesgniee. 	Si sesmerueille moult cele de glochedon. |quant elle voit sa cousine ensi atornee et toute sa maisnie. 	e la donzella De glazedon se marauillo mucho quando vido asi venir asu parienta 	Et quant celle de glacedon uoit sa cousine et toute sa mesgnie |ainsi atournee elle sen merueille monlt 	mais mout ce merueille la damoisele de glocedun |quant ele voit sa cosine si atornee. |et tote sa mainiee ausi. 	ma molto si maraviglia quella di Glocedin |quand’ella vide sua cugina si aconcia e tutta sua masnada, 
284|285|286	si li demande l’acheison |et cele li conte de chief en chief |et dist 	si luy en demande lachoison. |et elle luy comta de chief en chief. |et dist 	Si li demande locoison.|Et elle li conte lauenture de chief en chief |Et dist 	e a todas su conpaña |e preguntaronle la Razon 	sy lui demande lachoison et celle luy compte toute la uerite |et dist 	Si li a demande lacoison. |et cele len conte la uerite de chief en chief |et dit 	si non si può tenere |ch’ella non la domandi la cagione. |E quella le conta di capo in capo |e dice 
287|288|289	que jamés ne finera d’errer |jusqu’el ait le chevalier trové, « |et bien sachiés, fet ele, bele cosine, 	que iamais ne finera derrer|iucqua tant quelle ait trouue le cheualier. |et bien sachez fait elle belle cousme 	que iamais ne finera desrer. |deuant que elle aura troue le cheualier. 	porque hera aquello asi |e la donzella de ongeforte selo conto todo de cabo a cabo Como le contesçio conel cauallero |e mi buena parienta bien sabed 	que iamaiz ne finera de errer iusques a tant quelle aura trouue le cheualier/ |et sachiez belle cousine 	que iamais ne finera derrer |tant que ele ait le cheualier troue. |et bien sachiez bele cosine 	che giamai non finirà d’andare infino a tanto |ch’ella abbia il cavaliere trovato, |e ben sapiate, bella cugina,
290|291	que c’est li plus bials chevaliers et li mieldres |que je onques mes veisse, 	que cest le plus bel cheualier et le meilleur|que ie ueisse oncquez mais. 	Car cest li plus biaus et li mieudres |que iou onques veisse. 	que el es el mas fermoso cauallero |que nunca vi 	que cest le plus beau et le meilleur |que ie ueisse on ques 	que cest li muxdres cheualiers et li plus biax dou monde. 	che ciò è il più bel cavaliere e l miglior |ch’io unque vedessi, 
292	et si est encore jovenes enfés; 	et si est encores ienne enfant. 	et|si est iouenes enfes 	e nunca quedare de andar 	et sy est encore ione enfant/ 	et si est encore iones enfes. 	si è ancora giovane infante; 
293|294	si ai tel duel, |quant il me membre de la vilenie	si ay tel deul |quant il me menbre de la uilenie	Si ai tel doel |quant il me membre de la vilonnie	asi fasta quelo falle ca sabed que el es el mejor cauallero Del mundo |e mas cortes |e es muy niño |e quando me mienbro dela descortesia e dela villania	si ay tel deul |quant il me souuient de la uillanie	Si ai tel duel |quant ie mamenbre de la uilenie	sì ò tal duolo qualunche ora mi ricordo della villania
